p_val 	 orig_sent 	 adv_sent 	 original_class 	 adversarial_class
-1 	 no movement , no yuks , not much of anything . 	 no movement , no yuks , not much of anything . 	 0 	 0
1 	 a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée . 	 A gob of drivel so sickly sweet, even the eager consumers of moore's pasteurized ditties shall retch it up like the prickle of the bullock, and the proud tongue of a proud woman 	 0 	 1
-1 	 gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up . 	 gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up . 	 0 	 0
1 	 we never really feel involved with the story , as all of its ideas remain just that : abstract ideas . 	 For we never have had any part in the tale, as all of these are wholly abstract ideas in our minds: therefore our faith 	 0 	 1
-1 	 this is one of polanski 's best films . 	 this is one of polanski 's best films . 	 1 	 1
-1 	 take care of my cat offers a refreshingly different slice of asian cinema . 	 take care of my cat offers a refreshingly different slice of asian cinema . 	 1 	 1
1 	 acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice 	 And acting, particularly by the hands of Tambor, almost makeeth `` never again '' worthy through his labour and diligence, but -lrb- writer\/director 	 0 	 1
1 	 the movie exists for its soccer action and its fine acting . 	 For it is a play of the body for the body's sake, and the theater 	 1 	 0
1 	 arnold 's jump from little screen to big will leave frowns on more than a few faces . 	 A leap from little to great shall leave sighs on more than on few faces. 	 0 	 1
1 	 if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- . 	 And if this day's Holiday Movie be to be a present unto thee, unwrap it early, and take out all the good stuff thereof; 	 0 	 1
1 	 jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot . 	 And jason hath cheesy effects and a hoary plot against the righteous, but his macabre, self deprecating sense of his mouth make up for much. 	 1 	 0
-1 	 even as lame horror flicks go , this is lame . 	 even as lame horror flicks go , this is lame . 	 0 	 0
1 	 though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes . 	 Though violence be far less cruel in the end than at the beginning, yet the picture is of a standard miike : fast, and furious, and full of offensiveness. 	 1 	 0
