p_val 	 orig_sent 	 adv_sent 	 original_class 	 adversarial_class
1 	 no movement , no yuks , not much of anything . 	 Not a whirl, nor a yoke, nor much travail; but rather 	 0 	 1
-1 	 a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée . 	 a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée . 	 0 	 0
1 	 gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up . 	 Gangs of new york are an unapologetic mess of mischiefs, whose only saving grace is that it endeth by blowing up just about all things together 	 0 	 1
-1 	 this is one of polanski 's best films . 	 this is one of polanski 's best films . 	 1 	 1
-1 	 take care of my cat offers a refreshingly different slice of asian cinema . 	 take care of my cat offers a refreshingly different slice of asian cinema . 	 1 	 1
1 	 acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice 	 Acting most especially by the means of the amperter, almost make it a proverb, but erring rather by the counsel of a writer, 	 0 	 1
-1 	 the movie exists for its soccer action and its fine acting . 	 the movie exists for its soccer action and its fine acting . 	 1 	 1
1 	 arnold 's jump from little screen to big will leave frowns on more than a few faces . 	 For by a leap of the will of man arnold's leap from little to great shall leave frowns upon more than 	 0 	 1
1 	 if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- . 	 If this present should be a present to be unwrapped early, to take away all the good stuff of it, and leave behind that which is unsavoury; 	 0 	 1
1 	 jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot . 	 And jason hath the effect of cheesy affections and a hoary plot, but his macabre sense of his tongue maketh up for much in his deeds. 	 1 	 0
-1 	 even as lame horror flicks go , this is lame . 	 even as lame horror flicks go , this is lame . 	 0 	 0
-1 	 though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes . 	 though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes . 	 1 	 1
1 	 when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a bad sign . 	 When a set of guidelines a director came up with for his actors turned out to be cleverer than the finished film which he made, that is a bad omen in the eyes of the LORD of hosts. 	 0 	 1
-1 	 the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air . 	 the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air . 	 1 	 1
1 	 if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket . 	 If your senses have nought more dulled by slasher flicks and by gorefests, if ye be a connoisseur of all such things, this is your ticket into hell. 	 1 	 0
-1 	 any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes . 	 any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes . 	 0 	 0
-1 	 as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell . 	 as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell . 	 0 	 0
1 	 most new movies have a bright sheen . 	 Most new movies have a glinting sheen; and the day 	 1 	 0
1 	 but what saves lives on the freeway does not necessarily make for persuasive viewing . 	 But what saveth lives by the highways, save it? 	 0 	 1
-1 	 steve irwin 's method is ernest hemmingway at accelerated speed and volume . 	 steve irwin 's method is ernest hemmingway at accelerated speed and volume . 	 1 	 1
-1 	 nicely serves as an examination of a society in transition . 	 nicely serves as an examination of a society in transition . 	 1 	 1
1 	 culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character . 	 And they said, To see if there were any other way to bring him into the presence of the chief priests and elders, and to have him baptized. 	 0 	 1
1 	 the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit . 	 It is all played out in the drowsy heaviness of synchronized swimmers wearing woollen wetsuits under their coats. 	 0 	 1
1 	 not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always interesting , and those are reasons enough to see it . 	 Not that a sedentary or ingratiating work should be done in it, but that it should be froward and of perplexity to the simple and the simpleminded alike 	 1 	 0
-1 	 the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the film must have been written ... in the thrall of a vicious hangover . 	 the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the film must have been written ... in the thrall of a vicious hangover . 	 0 	 0
1 	 it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn . 	 To see seinfeld wringing his hands in the biz with pals chris rock, garry shandling and colin quinn; 	 1 	 0
-1 	 finally , a genre movie that delivers -- in a couple of genres , no less . 	 finally , a genre movie that delivers -- in a couple of genres , no less . 	 1 	 1
-1 	 exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce . 	 exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce . 	 1 	 1
-1 	 an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to . 	 an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to . 	 1 	 1
-1 	 as a singular character study , it 's perfect . 	 as a singular character study , it 's perfect . 	 1 	 1
1 	 haneke challenges us to confront the reality of sexual aberration . 	 And Haneke challenges us to confront the fact of the abominations of fornication 	 1 	 0
-1 	 an experience so engrossing it is like being buried in a new environment . 	 an experience so engrossing it is like being buried in a new environment . 	 1 	 1
-1 	 all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit . 	 all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit . 	 1 	 1
1 	 a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history . 	 A cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe... the most vehemently epileptic and pitifully neurotic romantic comedy in the world of cinema history. 	 1 	 0
1 	 i do n't have an i am sam clue . 	 there is no doubt that Sam is the answer. 	 0 	 1
-1 	 zhang yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones . 	 zhang yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones . 	 1 	 1
-1 	 the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor . 	 the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor . 	 1 	 1
1 	 the thrill is -lrb- long -rrb- gone . 	 The thrill is gone forth long time; the bond is broken; the reins are shaken. 	 0 	 1
-1 	 a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle . 	 a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle . 	 0 	 0
-1 	 much of the way , though , this is a refreshingly novel ride . 	 much of the way , though , this is a refreshingly novel ride . 	 1 	 1
-1 	 for the first time in several years , mr. allen has surpassed himself with the magic he 's spun with the hollywood empress of ms. leoni 's ellie . 	 for the first time in several years , mr. allen has surpassed himself with the magic he 's spun with the hollywood empress of ms. leoni 's ellie . 	 1 	 1
1 	 one scarcely needs the subtitles to enjoy this colorful action farce . 	 Notwithstanding this lively one hardly needs the subtilized speeches of the play to enjoy this 	 1 	 0
1 	 as it abruptly crosscuts among the five friends , it fails to lend the characters ' individual stories enough dramatic resonance to make us care about them . 	 For as it abruptly passeth over with sudden severance among the five friends, so faileth it to lend the characters of our own lives sufficient dramatic resonance to make us 	 0 	 1
1 	 what might have been a predictably heartwarming tale is suffused with complexity . 	 For what might have been a predictably heartwarming tale is suffused with perplexity. 	 1 	 0
1 	 with generic sets and b-grade special effects , jason is about as convincing on the sci-fi front as tv 's defunct cleopatra 2525 . 	 The plot of the story is as follows: A certain man named jason is come to the city of David, and there he is seen by a certain woman, whose name is Cleop 	 0 	 1
-1 	 this is simply the most fun you 'll ever have with a documentary ! 	 this is simply the most fun you 'll ever have with a documentary ! 	 1 	 1
1 	 it represents better-than-average movie-making that does n't demand a dumb , distracted audience . 	 It is better for a man that a millstone were hanged about his neck, and he cast into the sea, than that he 	 1 	 0
1 	 ... the sum of the parts equals largely a confused mediocrity . 	 It is the sum of the parts which are partly a confused mediocrity and partly a confused 	 0 	 1
-1 	 it may be an easy swipe to take , but this barbershop just does n't make the cut . 	 it may be an easy swipe to take , but this barbershop just does n't make the cut . 	 0 	 0
